,sizes_3D,dt_min_cpu_3D,dt_std_cpu_3D
0,1,17000.0,10930.7392578125
1,1331,122000.0,17985.095703125
2,9261,738300.0,70059.4140625
3,29791,2316700.0,175193.484375
4,68921,5666300.0,348830.21875
5,132651,12458300.0,634101.9375
6,226981,21889200.0,953566.6875
7,357911,36084400.0,1504370.75
8,531441,53540800.0,2896228.0
9,753571,76191696.0,3042612.5
10,1030301,107344096.0,4545978.5
11,1367631,144330400.0,5831273.5
12,1771561,188803392.0,30251458.0
13,2248091,237526800.0,8818767.0
14,2803221,304508192.0,34775976.0
15,3442951,376034592.0,12992050.0
16,4173281,465179584.0,28925126.0
17,5000211,563238016.0,38370104.0
18,5929741,681505088.0,50958392.0
19,6967871,824424320.0,62185636.0
20,8120601,963523520.0,68158456.0
21,9393931,1137878528.0,52242800.0
22,10793861,1321632512.0,94403256.0
23,12326391,1528869248.0,70429984.0
24,13997521,1765530880.0,85189104.0
25,15813251,2040014336.0,81701392.0
26,17779581,2316820480.0,113588832.0
27,19902511,2612030720.0,136804640.0
28,22188041,2979106304.0,144951360.0
29,24642171,3295843584.0,123316624.0
30,27270901,3676603136.0,103351192.0
31,30080231,4097524480.0,107950112.0
32,33076161,4611974656.0,121818664.0
33,36264691,4961188352.0,117504048.0
34,39651821,5438182400.0,144787920.0
35,43243551,6072965120.0,143193376.0
36,47045881,6531719168.0,150871888.0
37,51064811,7153802752.0,183640224.0
38,55306341,7882356736.0,176627440.0
39,59776471,8514655744.0,187963296.0
40,64481201,9279037440.0,213606992.0
41,69426531,10030850048.0,224827888.0
42,74618461,10834914304.0,238872144.0
43,80062991,11671232512.0,201560528.0
44,85766121,12772434944.0,315809376.0
45,91733851,13644971008.0,309421984.0
46,97972181,14711613440.0,682440512.0
47,104487111,15609661440.0,335928320.0
48,111284641,16921254912.0,404289408.0
49,118370771,18009403392.0,495201824.0
50,125751501,19875592192.0,387207968.0
