,sizes_3D,hd_min_3D_purePython,dice_min_3D_purePython,hd_std_3D_purePython,dice_std_3D_purePython
0,1,44100.0,40000.0,14970.857421875,4762.2705078125
1,1331,67300.0,46700.0,8015.76123046875,7461.14599609375
2,9261,123200.0,70000.0,25386.80078125,3776.153076171875
3,29791,278500.0,126900.0,42710.64453125,35972.984375
4,68921,265200.0,146400.0,45530.1640625,22979.173828125
5,132651,1401300.0,343100.0,1662192.375,57859.953125
6,226981,2186100.0,479400.0,2020749.75,62456.09375
7,357911,3591600.0,1500200.0,2500269.25,200888.65625
8,531441,5350900.0,2054600.0,3528417.75,198921.15625
9,753571,7352600.0,2726900.0,4227905.0,270577.375
10,1030301,9565500.0,3623500.0,4488920.5,313251.25
11,1367631,13610400.0,4713900.0,4616123.0,481991.21875
12,1771561,17286800.0,6095500.0,5371205.5,447865.0
13,2248091,22202600.0,7565300.0,4955296.5,610477.3125
14,2803221,24439300.0,9367500.0,4822399.5,657675.6875
15,3442951,32472200.0,11608100.0,3505851.25,746546.6875
16,4173281,38511500.0,13649500.0,3397940.0,955071.0625
17,5000211,44034400.0,16609100.0,2465336.0,1085190.125
18,5929741,49529600.0,19660100.0,3532653.75,1585747.625
19,6967871,58490400.0,22785700.0,3048999.5,1651081.25
20,8120601,65454100.0,27165900.0,3789733.25,1680322.5
21,9393931,73693296.0,30690700.0,3975833.5,1979780.5
22,10793861,83999696.0,36143300.0,6529817.5,2548570.5
23,12326391,95894400.0,41120200.0,5710870.5,2633644.0
24,13997521,106205696.0,46923400.0,5327000.0,2274990.25
25,15813251,121079400.0,52394700.0,6586068.0,2431876.25
26,17779581,131321296.0,58503000.0,7272326.0,2611584.0
27,19902511,150838000.0,65874600.0,9296649.0,2932297.25
28,22188041,185479696.0,72850496.0,8483444.0,3493252.75
29,24642171,202782304.0,80951400.0,9124555.0,4102244.25
30,27270901,239637696.0,90426000.0,12379431.0,4457275.0
31,30080231,269272992.0,100471504.0,8806223.0,6044434.5
32,33076161,293683104.0,119059904.0,14289277.0,5776850.5
33,36264691,324275104.0,138874000.0,13394262.0,6092781.5
34,39651821,359046304.0,158640896.0,13307040.0,7405047.5
35,43243551,400475712.0,178588608.0,16009114.0,10043111.0
36,47045881,432214912.0,198464608.0,15467836.0,7839452.0
37,51064811,483908704.0,218199904.0,16815486.0,8412571.0
38,55306341,519787904.0,249416400.0,16066565.0,11061247.0
39,59776471,576307520.0,265539696.0,20386558.0,8343900.0
40,64481201,615118080.0,300249600.0,30623438.0,11981266.0
41,69426531,681530816.0,320873792.0,22770098.0,9589412.0
42,74618461,735589312.0,333085696.0,20106570.0,18269494.0
43,80062991,793321088.0,353945312.0,26958250.0,18604224.0
44,85766121,860496320.0,387395488.0,22264164.0,17643460.0
45,91733851,918435712.0,407468992.0,32074352.0,20277784.0
46,97972181,980374528.0,430176800.0,23962916.0,21259028.0
47,104487111,1061804480.0,471976800.0,25356952.0,22363600.0
48,111284641,1094184960.0,501120288.0,29716562.0,22113538.0
49,118370771,1188472960.0,538071296.0,33055126.0,24775526.0
50,125751501,1230973824.0,560775424.0,35130180.0,24752390.0
