,sizes_3D,hd_min_3D_purePython_GPU,dice_min_3D_purePython_GPU,hd_std_3D_purePython_GPU,dice_std_3D_purePython_GPU
0,1,50700.0,79700.0,40991.3828125,14618.955078125
1,1331,51100.0,81100.0,16294.4111328125,14646.095703125
2,9261,51000.0,81400.0,11531.0517578125,13589.2158203125
3,29791,51600.0,80400.0,39990.06640625,40201.58203125
4,68921,52000.0,81600.0,15311.0751953125,11630.9228515625
5,132651,54100.0,90500.0,20761.875,12225.8525390625
6,226981,53700.0,86900.0,13839.75390625,35461.4765625
7,357911,53800.0,89000.0,499331.4375,9326.1318359375
8,531441,53400.0,86000.0,844612.625,694245.125
9,753571,53600.0,85700.0,1042476.3125,920037.75
10,1030301,54000.0,85800.0,1262538.125,1276017.0
11,1367631,53900.0,84100.0,1530023.25,1547991.0
12,1771561,52400.0,85100.0,1776668.5,1726600.125
13,2248091,52700.0,85000.0,2268412.0,2038097.75
14,2803221,52400.0,85900.0,2430738.5,2162944.75
15,3442951,54500.0,84300.0,2851204.25,2402666.25
16,4173281,52800.0,84000.0,3217298.0,2634615.75
17,5000211,54100.0,85100.0,3895764.25,2988637.5
18,5929741,52500.0,84200.0,4072628.25,3231004.25
19,6967871,52400.0,86400.0,4513473.0,3539000.0
20,8120601,52900.0,85800.0,5190875.5,4001423.0
21,9393931,52800.0,86400.0,5649047.0,4423311.5
22,10793861,54400.0,86000.0,5733408.5,4690790.0
23,12326391,54800.0,85700.0,6281147.0,5072329.5
24,13997521,54600.0,84000.0,7273577.0,5501702.5
25,15813251,54700.0,86000.0,8519791.0,6062735.0
26,17779581,53900.0,85400.0,10571013.0,6266553.0
27,19902511,54100.0,85500.0,12160272.0,6634126.5
28,22188041,53200.0,85200.0,11666079.0,6912594.5
29,24642171,53700.0,86500.0,13310406.0,7191269.0
30,27270901,54900.0,92700.0,12956323.0,7562366.0
31,30080231,52900.0,86100.0,14950551.0,7443508.5
32,33076161,56500.0,85300.0,15830216.0,7890308.5
33,36264691,54200.0,94600.0,17199002.0,8596383.0
34,39651821,54200.0,85500.0,19374090.0,8473950.0
35,43243551,52600.0,89100.0,20043966.0,8616201.0
36,47045881,55000.0,89900.0,21752534.0,9029373.0
37,51064811,52800.0,85700.0,24887666.0,9542652.0
38,55306341,52400.0,85900.0,27502072.0,9763695.0
39,59776471,56500.0,85900.0,30011572.0,11309773.0
40,64481201,66000.0,85700.0,29739560.0,11649538.0
41,69426531,52400.0,86600.0,33633252.0,12839139.0
42,74618461,52900.0,86000.0,39020372.0,13378272.0
43,80062991,53800.0,86200.0,39876488.0,14581743.0
44,85766121,54600.0,85600.0,42011956.0,15036998.0
45,91733851,52500.0,86600.0,43838192.0,16476922.0
46,97972181,52500.0,85400.0,46789616.0,16461088.0
47,104487111,52400.0,86400.0,48844152.0,18655412.0
48,111284641,52600.0,85100.0,51273624.0,18856026.0
49,118370771,52200.0,85900.0,54233236.0,19508556.0
50,125751501,52400.0,85900.0,57593384.0,21530872.0
