size,Maurer_cpu_hd_cpu_min,Maurer_cpu_hd_cpu_std,Maurer_cpu_hd_gpu_min,Maurer_cpu_hd_gpu_std,Wenbo_cpu_hd_cpu_min,Wenbo_cpu_hd_cpu_std,Wenbo_gpu_hd_gpu_min,Wenbo_gpu_hd_gpu_std
256,23600.0,3.2392454485279508e7,1.4084e6,1.6376931052857503e8,54200.0,3.546039387160165e8,756600.0,8.613086066576097e6
1024,130400.0,627089.1698011392,1.7671e6,1.6473042576375883e7,70500.0,19399.39110836666,360200.0,1.1544317602623743e6
2304,181900.0,72939.92218365807,1.3759e6,2.486733982689596e6,132600.0,20060.18090566423,696500.0,2.2607354550438053e6
4096,240600.0,63578.01403770813,1.4586e6,3.0329711697732536e6,211600.0,23172.284570413212,744200.0,1.2747867121307687e6
6400,320700.0,217090.7524303593,1.7693e6,4.357015275509979e6,286300.0,219562.56493937995,717000.0,732185.9428647197
9216,391600.0,74808.35166556503,1.9824e6,2.3447037205698374e6,342800.0,70834.21755010738,364900.0,2.2091089207791323e6
12544,469400.0,90595.95434484749,1.9816e6,2.2713348599373577e6,437400.0,78997.13032122781,526500.0,1.2229517857371802e6
16384,574900.0,122574.22958219047,2.3736e6,4.987462455598573e6,559700.0,77789.63880842946,755400.0,1.1363842607157272e6
20736,674500.0,105892.29122320653,2.6576e6,3.1667335190779297e6,722600.0,68231.6576945902,433700.0,1.3962651468242828e6
25600,826600.0,102531.08529812965,1.4772e6,3.0315578209380102e6,855400.0,67981.98581024738,454900.0,1.381053168891428e6
30976,958000.0,111718.42369969218,1.7991e6,3.71842517955215e6,1.0349999999999999e6,76904.54761686195,395400.0,1.422238086928971e6
36864,1.1443e6,117825.79024796477,2.1193e6,6.167967108521296e6,1.1853e6,123174.9212017332,524100.0,1.6711769227752143e6
43264,1.3629e6,1.2115719307912474e6,2.3055e6,8.208348319448164e6,1.3388e6,450398.56253092206,636500.0,1.6436229612500172e6
50176,1.5014e6,464879.7688629352,2.2027e6,2.7460497760631186e6,1.5069e6,487121.9382382052,636300.0,2.525176690980156e6
57600,1.6089e6,408441.93491426186,2.9758e6,9.947137579933906e6,1.6805e6,178658.05644392726,683500.0,2.7618767927284036e6
65536,1.9656e6,213778.4509277796,2.7269e6,3.698543482062845e6,1.8862e6,182139.6395678108,675900.0,2.4985283268132415e6
73984,2.0986e6,366162.5718650038,3.7457e6,9.271160588009184e6,2.0853e6,345791.0965418863,733600.0,3.44241325628697e6
82944,2.3155e6,414898.55269419146,3.453e6,3.2559454350828277e6,2.2562e6,235410.73846956683,865500.0,3.1520145489204377e6
92416,2.5752e6,439644.43059971055,3.6898e6,1.454381699955667e6,2.5048e6,398653.12197782006,1.039e6,2.9877537927692994e6
102400,2.7603e6,8.0083306920250775e6,4.0463e6,1.9548421676138467e6,2.7327e6,540655.4156639831,1.1429e6,3.867300696685191e6
112896,3.0036e6,671576.0645807068,4.7246e6,2.7999514088600986e6,2.9339e6,456205.36144657823,1.1452e6,2.6166443011147757e6
123904,3.295e6,855621.7462054861,4.7751e6,1.957355939966295e6,3.2298e6,761872.7870822578,749700.0,6.54949991936543e6
135424,3.6937e6,684648.6170429615,4.8642e6,1.7437467172222778e6,3.4873e6,1.765503606391974e6,1.237e6,3.1272253059741273e6
147456,4.0067999999999995e6,2.350544778904605e6,5.4652e6,3.0875987011445137e6,3.8227e6,676717.8783752662,1.2749e6,2.744914330539046e6
160000,4.1862e6,817603.8336182323,6.1385e6,1.759395873449776e6,3.9950999999999995e6,790188.8329465631,1.2528e6,2.9010449185110386e6
173056,4.5064e6,1.4383489214575747e6,5.5508e6,2.2984862065940755e6,4.3536e6,594047.6624732033,1.2852e6,3.558001366194815e6
186624,4.8604e6,1.0361677487396444e6,6.2709e6,1.5954519001265202e7,4.6508e6,927540.2516679232,887600.0,4.748014951953446e6
200704,5.0856e6,1.0490145061693878e6,6.5969e6,1.391760687356717e6,4.9582e6,594289.8235815522,4.3492e6,4.1934528459704896e6
215296,5.3722e6,3.287268685145839e6,7.0387e6,1.6256150281372059e6,5.3491e6,895345.9216067937,1.3644e6,3.7230176556587755e6
230400,5.7788e6,2.767102185655291e6,7.5581e6,1.6166632331633458e6,5.7015e6,934671.4478170538,2.1727e6,4.0187801448899196e6
246016,6.1466e6,2.9160753793552895e6,7.7216e6,2.51640849526775e6,6.0654e6,666349.594554807,1.4496e6,6.997261221274557e6
262144,6.6365e6,1.3453297823083488e7,8.082799999999999e6,3.157250979976692e6,7.1363e6,1.10536593731153e7,2.3858e6,1.0299361743375707e7
