sizes_3D,maurer_minimum_3D,maurer_std_3D,felzenszwalb_threaded_minimum_3D_depth,felzenszwalb_threaded_std_3D_depth,felzenszwalb_gpu_minimum_3D,felzenszwalb_gpu_std_3D,wenbo_threaded_minimum_3D,wenbo_threaded_std_3D,wenbo_gpu_minimum_3D,wenbo_gpu_std_3D
1.0,226.4227642276423,882.8982109466377,192.4920127795527,221.8445903232398,153500.0,498429.1547045332,26100.0,268300.1108346906,13000.0,398217.75732878246
1331.0,56200.0,145049.97507755953,58300.0,170094.94133856776,761800.0,213555.41769395553,56700.0,2.298564237413379e6,13600.0,389139.10212609393
9261.0,183700.0,249421.70102977025,170600.0,279937.773922903,3.5466e6,1.4073597268177194e6,110500.0,2.5888445719397105e6,13700.0,390764.87179222907
32768.0,534400.0,361146.3502184029,341700.0,383844.6951895538,1.15972e7,548731.2160663732,198200.0,2.2355357470064247e6,13600.0,491960.5865408377
74088.0,1.0318e6,1.0000330051041805e6,842300.0,474443.806610344,2.1392e7,791396.2020924692,304300.0,1.9019667862179964e6,13500.0,606380.2280090469
140608.0,1.9726e6,1.2328996152855398e6,1.4293e6,341467.0728637405,3.4233e7,667520.4880363811,450300.0,1.3999281632030655e6,13000.0,1.0725906899801414e6
238328.0,3.0398e6,1.3755902354381816e6,2.0655e6,873570.2020070277,5.39308e7,608228.8080465517,638400.0,1.1349758821049398e6,12700.0,1.6912123490792902e6
373248.0,4.8586e6,1.5604769124556351e6,3.6054e6,3.565674054050498e6,7.73109e7,1.1194338525237169e6,1.0388e6,1.2044793678137823e6,14100.0,2.0416402042702734e6
551368.0,7.7865e6,1.6693470286613156e6,4.8544e6,829203.0492442722,1.032722e8,1.5299769933939257e6,1.4362e6,1.1717042781231937e6,14300.0,3.742592400650452e6
804357.0,1.06132e7,1.7002657692564807e6,6.4736e6,1.2741010062414333e6,1.401848e8,2.0606013710940361e6,1.9478e6,1.1543948660201216e6,14100.0,6.283612103611459e6
1.092727e6,1.48543e7,2.5112567081027105e7,1.32087e7,4.9539898483635085e6,1.749716e8,1.8453727586385151e6,2.5722e6,1.4142383247577916e6,14200.0,1.0174534042819735e7
1.442897e6,2.20237e7,3.196771337215922e6,1.97762e7,1.7296857230279262e6,2.159744e8,1.9381984798346125e6,3.2872e6,1.3940544185211428e6,14000.0,1.527322647948883e7
1.860867e6,2.74364e7,4.652686539089725e7,2.35409e7,1.4729595345572059e6,2.602702e8,1.8713516031864611e6,4.1671e6,1.4219848770475108e6,14100.0,2.468098167823516e7
2.352637e6,3.44306e7,4.751995534579385e7,3.5178e7,1.4077464963709768e6,3.080948e8,2.288242043915835e6,5.2616e6,1.7331083514093354e6,14000.0,3.1616932887210786e7
2.985984e6,4.18896e7,2.48357620022877e7,4.56712e7,2.950194574262939e6,3.710478e8,2.680048864775121e6,6.5815e6,1.6181952001736052e6,13400.0,4.197720151145945e7
3.652264e6,5.27589e7,3.0724686234800395e7,5.69615e7,2.3708631477569463e6,4.315092e8,1.870713981102111e6,7.6284e6,1.7437081163301358e6,14800.0,5.508725169053839e7
4.410944e6,7.25213e7,8.943407931560445e7,7.25956e7,3.485032663020879e6,4.950671e8,1.9483712708077715e6,9.1059e6,1.7382403607567719e6,14200.0,6.96267189031406e7
5.268024e6,8.05216e7,3.460235564049576e7,7.63975e7,2.6559482906650137e6,5.616566e8,3.407593201219887e6,1.0746e7,1.9322265198611782e6,15100.0,8.312933550683942e7
6.229504e6,8.66471e7,4.06860686198957e7,1.058548e8,5.479024349466786e6,6.400769e8,1.8093699738148793e6,1.27436e7,1.6658538267009156e6,15000.0,9.971542382349287e7
7.301384e6,1.169227e8,8.394366265371552e7,1.243651e8,5.061122409165338e6,7.121678e8,2.593439010822723e6,1.45999e7,1.9303008842559159e6,14600.0,1.1608356230625321e8
8.615125e6,1.260681e8,5.080081566160442e7,1.332492e8,4.824892852527713e6,7.991983e8,2.1756284905855637e6,1.80274e7,2.1112518837713585e6,15000.0,1.2859381344677116e8
9.938375e6,1.536921e8,5.4938765454967335e7,1.86234e8,3.301510159678679e6,8.877476e8,3.350071379189803e6,2.06699e7,2.2242768542502993e6,16700.0,1.42984328459217e8
1.1390625e7,1.778183e8,1.0403487313875093e8,2.01058e8,3.7951734822365814e6,9.793785e8,3.8562425191715662e6,2.91267e7,5.397084637013147e6,15500.0,1.527262367733346e8
1.2977875e7,1.938117e8,6.283033419776002e7,2.396822e8,5.230352458849162e6,1.070389e9,1.7203281672401926e6,2.78377e7,1.9896237772120573e7,15300.0,1.6699176600364852e8
1.4706125e7,2.227328e8,6.913506274163258e7,2.984902e8,3.8100187561102323e6,1.1736218e9,895441.3956256434,3.17715e7,2.1252927376644194e7,15300.0,1.703048267230414e8
1.6777216e7,2.498787e8,7.580989973678982e7,3.788655e8,4.530811924040286e6,1.295762e9,3.074303774298608e6,7.48775e7,3.2516841184187938e7,14100.0,1.899730519205049e8
1.8821096e7,2.837888e8,8.487410175283827e7,3.669586e8,9.826873925996806e6,1.4113391e9,1.884117261920464e6,3.84449e7,2.3378517203756426e7,15700.0,2.015333170096943e8
2.1024576e7,3.058727e8,8.709509002162519e7,4.305208e8,4.596712739086686e6,1.5199091e9,1.4023119039048813e6,4.19216e7,2.454638999526852e7,15300.0,2.145978040734288e8
2.3393656e7,3.559341e8,9.553476660898551e7,4.075997e8,9.298430738322398e6,1.6299862e9,3.307987603765568e6,4.81339e7,2.616891812193674e7,15500.0,2.4108941814575437e8
2.5934336e7,3.591692e8,9.739529708807074e7,6.008504e8,1.6057827458188865e7,1.7600629e9,6.048886301901642e6,5.32254e7,2.750582251059601e7,15600.0,2.3352131366053572e8
2.8652616e7,4.480427e8,1.1700294825333059e8,5.369034e8,1.3859457190108292e7,1.8861014e9,2.7767940873124413e6,5.80794e7,2.862188254705697e7,15600.0,2.5605767114381984e8
3.1855013e7,4.75219e8,1.1421572424713221e8,5.723155e8,1.3092725111467224e7,2.0268371e9,5.434806084243792e6,6.72272e7,3.0702274104175854e7,16000.0,2.657037985359229e8
3.4965783e7,5.557297e8,1.2702314461061248e8,7.271121e8,2.3887126628474213e7,2.1546065e9,683145.7116408865,7.30459e7,3.220589982947745e7,15800.0,2.924265346076569e8
3.8272753e7,6.176465e8,1.4025494861128023e8,7.296144e8,1.8549495524381455e7,2.290164e9,3.1595171978220553e6,7.94466e7,3.57954355887175e7,16100.0,2.9142716250169504e8
4.1781923e7,6.518489e8,1.366331596203307e8,9.08022e8,7.235029992474115e6,2.4582136e9,2.8662922862122767e6,8.86256e7,3.475789130488394e7,15700.0,3.0201971994372654e8
4.5499293e7,6.882693e8,1.4961376552258214e8,9.846918e8,1.5863927410102455e7,2.5912417e9,5.5753248376215715e6,9.57353e7,3.692492593400472e7,16500.0,3.191228709787045e8
4.9430863e7,7.757078e8,1.6037154142403197e8,9.720247e8,2.3638456185144577e7,2.7252059e9,4.451520030281791e6,1.022862e8,3.832987003929569e7,16100.0,3.4129501914771926e8
5.4010152e7,8.152858e8,1.6912731730955526e8,1.1526422e9,2.339427661598024e7,2.9165697e9,4.493592883762391e6,1.083278e8,3.965935562265323e7,16200.0,3.4640983869159186e8
5.8411072e7,9.506745e8,1.880335072440681e8,1.2488597e9,2.3061583494544197e7,3.1034514e9,4.715058727630017e6,1.141642e8,4.06248784141489e7,21700.0,3.619564244927903e8
6.3044792e7,9.640986e8,2.1923161720892814e8,1.2087692e9,1.076834476175424e7,3.2745683e9,1.2125184241074443e7,1.249557e8,4.430837667170291e7,15500.0,3.8013661924758255e8
6.7917312e7,9.556469e8,2.1247991291633898e8,1.4857901e9,3.463987067993326e7,3.4665454e9,7.276058067731455e6,1.334583e8,4.648475731832553e7,17200.0,3.820511898379036e8
7.3034632e7,1.1344659e9,2.664695405145899e8,1.472321e9,3.782918294769265e7,3.6436997e9,3.3184521241084677e6,1.453266e8,4.942139040875643e7,18100.0,4.002573916801832e8
7.8953589e7,1.1930325e9,2.6057516198452702e8,1.5855166e9,4.4511683982448176e7,3.8604787e9,4.1256145148329115e6,1.639231e8,5.545185689980939e7,16800.0,4.2320875711757755e8
8.4604519e7,1.3441657e9,2.985597289114567e8,1.8766118e9,3.077436987727504e7,4.0398312e9,1.492058947913922e7,1.759857e8,5.302663041848941e7,21700.0,4.2140577999854296e8
9.0518849e7,1.4322522e9,3.5153952127230304e8,1.8343676e9,2.84529551643293e7,4.2735889e9,2.3334099515087355e7,2.645609e8,7.935202616373493e7,18700.0,4.3294102969355917e8
9.6702579e7,1.4792945e9,3.619295632938035e8,2.1404603e9,1.6325092342873082e7,4.4706748e9,9.376660182602333e6,2.026009e8,6.150870101208021e7,17900.0,4.728307077815659e8
1.03161709e8,1.5523553e9,3.5977488339535785e8,2.3330401e9,3.6361325725189574e7,4.6867353e9,1.3037069146092614e7,2.14561e8,6.458397166592212e7,22200.0,4.772937542686785e8
1.09902239e8,1.7166974e9,3.849089952763683e8,2.335672e9,3.278496527053216e7,4.8535154e9,2.7205155588693112e7,2.58745e8,7.77135874517146e7,20100.0,4.917429350622258e8
1.17649e8,2.0112437e9,3.0313742246397644e8,2.7518153e9,1.0993035573716661e7,5.0858339e9,NaN,2.427643e8,6.859377164755006e7,24900.0,4.989222544958189e8
1.25e8,1.8908366e9,3.9358351188383555e8,3.8253007e9,8.540704403747971e7,5.3281783e9,NaN,2.463311e8,7.010450700795059e7,17800.0,5.103099910998963e8
1.32651e8,2.0558773e9,4.513878300759817e8,2.8643461e9,7.958974725933611e7,5.5472462e9,NaN,4.144971e8,8.422989434809192e7,23500.0,5.115347740567671e8
