sizes_loss_2D,dice_minimum_2D,dice_std_2D,dice_minimum_gpu_2D,dice_std_gpu_2D,hausdorff_minimum_2D,hausdorff_std_2D,hausdorff_minimum_gpu_2D,hausdorff_std_gpu_2D
1.0,60.34658511722732,303.33977514181504,60.44852191641183,308.022729783626,28.64321608040201,178.63735924947892,113700.0,184138.63339142562
121.0,276.5079365079365,384.15290918691477,265.33742331288346,378.2588555814961,148.6060606060606,141.54103891265004,108800.0,185927.5417179091
441.0,678.1456953642385,1067.2263964309543,686.0927152317881,1080.4830615338474,396.5,599.279421676829,118100.0,191947.06667878805
1024.0,904.6511627906976,4192.5613563526595,933.3333333333334,5021.0645282872465,851.3888888888889,2090.604735295046,146800.0,226880.13341852816
1764.0,1410.0,9541.393796654096,1400.0,9511.434406713128,1280.0,5744.252593017584,151100.0,328463.56461520295
2704.0,2311.1111111111113,11691.303676254873,2133.3333333333335,11350.443266317063,1955.5555555555557,7995.247483510232,146200.0,327965.489105955
3844.0,3587.5,13674.588161803553,3575.0,13663.26968133295,2762.5,8823.031460011813,143200.0,333551.5419774644
5184.0,4400.0,22607.915489604406,4357.142857142857,26704.0057381904,3985.714285714286,14109.97391136086,149200.0,320844.6037939993
6724.0,6000.0,39508.31616915414,6150.0,41192.86332231918,5880.0,22304.937488081392,148800.0,343619.34304341825
8649.0,8400.0,93545.48046165504,8100.0,95206.79353645902,7533.333333333333,32655.04905150487,144000.0,324542.3845673861
10609.0,9300.0,112663.88206720089,9400.0,101573.99245439455,9200.0,63883.69707698216,152400.0,332600.1138620404
12769.0,11600.0,110982.66955914628,10800.0,108485.71930315465,11000.0,67108.2201512124,153500.0,325092.5391011135
15129.0,12900.0,116044.06273433205,13100.0,114477.06421411899,12700.0,71787.74585170187,157400.0,325866.76376022486
17689.0,15700.0,125097.81052472386,15400.0,122194.92506543416,14500.0,71057.4535096772,153400.0,323786.798415566
20736.0,19100.0,122289.54480843575,19000.0,124660.11165221738,17600.0,81825.80515538198,159200.0,348325.27744084067
23716.0,19800.0,122971.78641411934,24000.0,147376.06176391913,23300.0,100900.01568540823,159800.0,334127.31538206956
26896.0,22300.0,127342.58333225915,22000.0,125977.2440346711,22900.0,80254.02712486194,162000.0,330788.43567377137
30276.0,24600.0,137022.101970806,25100.0,138595.0452105976,25300.0,90069.62544086552,164100.0,341384.23023035313
33856.0,34600.0,156596.94453372597,30800.0,138090.39604829872,29000.0,95439.852720686,173100.0,367555.09143297985
37636.0,35100.0,151839.12385070813,33900.0,152183.4360196414,31800.0,98537.76363440613,176400.0,406429.17470501876
42025.0,40100.0,159218.04611849305,38900.0,167532.34861788095,35300.0,110705.46440193437,180200.0,337463.0265255993
46225.0,45300.0,173888.70123205017,46000.0,173908.1075412654,37700.0,112220.6285883057,188100.0,453588.610841238
50625.0,50000.0,178495.47630335198,50500.0,175187.78517195335,42500.0,122000.91848671126,189500.0,345405.6562450579
55225.0,56100.0,191763.9815108614,56400.0,194434.87202142758,46400.0,121182.31383233485,191100.0,348336.3654460559
60025.0,61300.0,220545.9374974707,60200.0,205927.92987285584,49600.0,127193.84376962943,196100.0,345206.7742822337
