os_info,gpu_info,sizes,dt_maurer,dt_maurer_std,dt_proposed_oneapi,dt_proposed_oneapi_std,dt_fenz_multi,dt_fenz_multi_std,dt_proposed_metal,dt_proposed_metal_std
"Julia Version 1.10.5
BenchmarkTools: 1.5.0","oneAPI",8.0,,,979375.5,,,,,
"Julia Version 1.10.5
BenchmarkTools: 1.5.0","oneAPI",16.0,,,1007426.0,,,,,
"Julia Version 1.10.5
BenchmarkTools: 1.5.0","oneAPI",32.0,,,1026682.0,,,,,
"Julia Version 1.10.5
BenchmarkTools: 1.5.0","oneAPI",64.0,,,1040517.0,,,,,
"Julia Version 1.10.5
BenchmarkTools: 1.5.0","oneAPI",128.0,,,1019644.0,,,,,
"Julia Version 1.10.5
BenchmarkTools: 1.5.0","oneAPI",256.0,,,1221519.0,,,,,
"Julia Version 1.10.5
BenchmarkTools: 1.5.0","oneAPI",512.0,,,1941198.0,,,,,
"Julia Version 1.10.5
BenchmarkTools: 1.5.0","oneAPI",1024.0,,,4059139.0,,,,,
"Julia Version 1.10.5
BenchmarkTools: 1.5.0","oneAPI",2048.0,,,14424044.0,,,,,
"Julia Version 1.10.5
BenchmarkTools: 1.5.0","oneAPI",4096.0,,,54810352.0,,,,,
