sizes,dt_scipy,dt_tfa,dt_fastgeodis,dt_opencv,dt_pydt_single,dt_pydt_multi,dt_pydt_cuda
64,40850.899949873565,1319690.6999837665,267629.00006360724,34078.40004001628,87172.99997442751,54258.199998002965,306861.70002809376
256,51595.80005056341,1425306.199962506,199635.79998147907,11232.300039409893,73202.4999706482,53140.90003594174,245047.00004399638
1024,121939.09997222363,1431303.899971681,196399.09996840288,17106.60008029663,103816.8999912159,82795.59997390606,238739.19999459758
4096,402976.5000268526,1464136.4999988582,216739.3000490847,34444.5999871823,266152.89998517255,253574.19999636477,239531.79997988627
16384,1443747.8999752784,1696003.5000010976,318814.7999935609,103295.20000595949,882619.2999549676,868276.1999807553,261554.79999943054
65536,5724790.900057997,2059615.8000444123,648677.4000222795,395229.5000090089,3345012.699992367,3848669.6000290974,312967.5000309362
262144,27492089.200040936,3315553.30003539,1316948.2000193966,1411655.2000814409,14695550.399937928,19111172.600059945,280296.2000714615
1048576,121051274.30004358,11658084.300051996,2618421.900024259,5522866.100000101,94930282.60003485,86694871.5000035,392301.90004673204
4194304,686661805.5999424,48711893.99991636,6617925.899990951,22620910.59992599,378806037.40004516,421356411.90006936,879442.3999461287
16777216,3326978350.3999863,221685493.29999223,22554411.19996249,95507093.39991954,1917811971.8999372,1875700574.3999798,3166091.2000006647
