epoch_times_dice,epoch_times_dice_hd
2.37E+09,2.69E+09
2.42E+09,2.84E+09
2.40E+09,2.56E+09
2.46E+09,2.53E+09
2.48E+09,3.01E+09
2.18E+09,2.74E+09
2.70E+09,2.83E+09
2.66E+09,2.81E+09
2.38E+09,3.18E+09
2.41E+09,3.00E+09
2.49E+09,3.30E+09
2.37E+09,2.71E+09
2.21E+09,2.38E+09
2.32E+09,2.63E+09
2.09E+09,2.46E+09
2.29E+09,2.41E+09
2.54E+09,2.61E+09
2.46E+09,2.58E+09
2.38E+09,2.87E+09
2.38E+09,2.39E+09
2.73E+09,2.70E+09
2.57E+09,2.61E+09
2.59E+09,2.65E+09
2.49E+09,2.60E+09
2.75E+09,2.56E+09
3.21E+09,2.81E+09
3.18E+09,2.67E+09
2.20E+09,2.66E+09
2.05E+09,2.77E+09
2.10E+09,2.81E+09
2.14E+09,3.50E+09
2.18E+09,2.95E+09
2.59E+09,2.89E+09
2.20E+09,3.55E+09
2.88E+09,2.97E+09
2.45E+09,2.80E+09
2.15E+09,2.67E+09
2.46E+09,2.58E+09
2.35E+09,2.44E+09
2.39E+09,2.77E+09
2.37E+09,2.91E+09
2.38E+09,2.46E+09
2.73E+09,2.92E+09
2.95E+09,2.99E+09
2.95E+09,2.74E+09
3.80E+09,2.67E+09
3.27E+09,2.68E+09
3.27E+09,2.97E+09
2.97E+09,3.04E+09
3.21E+09,2.92E+09
2.32E+09,3.33E+09
2.54E+09,3.58E+09
2.37E+09,2.67E+09
2.39E+09,2.87E+09
2.19E+09,2.92E+09
2.22E+09,2.65E+09
2.62E+09,2.64E+09
2.34E+09,2.65E+09
2.53E+09,2.75E+09
2.34E+09,2.52E+09
2.60E+09,2.59E+09
2.21E+09,2.09E+09
2.39E+09,2.10E+09
2.30E+09,2.10E+09
2.48E+09,2.13E+09
2.77E+09,2.18E+09
2.86E+09,2.17E+09
2.53E+09,2.43E+09
3.13E+09,2.47E+09
2.12E+09,2.98E+09
2.00E+09,2.51E+09
2.20E+09,2.71E+09
2.37E+09,2.66E+09
2.15E+09,2.49E+09
2.13E+09,2.51E+09
2.14E+09,2.60E+09
2.14E+09,2.71E+09
2.17E+09,2.49E+09
2.20E+09,2.65E+09
2.15E+09,2.87E+09
2.10E+09,2.49E+09
2.33E+09,2.51E+09
2.51E+09,2.58E+09
2.27E+09,2.61E+09
2.34E+09,2.86E+09
2.58E+09,3.01E+09
2.77E+09,2.94E+09
2.73E+09,3.03E+09
2.73E+09,3.02E+09
3.31E+09,2.38E+09
2.25E+09,2.38E+09
2.13E+09,2.36E+09
2.35E+09,2.37E+09
2.09E+09,2.51E+09
2.13E+09,2.40E+09
2.17E+09,2.39E+09
2.47E+09,2.37E+09
2.17E+09,2.78E+09
2.20E+09,2.60E+09
2.48E+09,2.41E+09
2.47E+09,2.55E+09
2.31E+09,2.55E+09
2.23E+09,2.54E+09
2.54E+09,2.70E+09
2.48E+09,2.51E+09
2.31E+09,2.76E+09
2.64E+09,2.54E+09
2.47E+09,2.67E+09
2.60E+09,2.77E+09
2.72E+09,2.63E+09
2.71E+09,2.96E+09
2.68E+09,3.01E+09
2.59E+09,3.07E+09
1.76E+09,2.71E+09
1.77E+09,2.43E+09
1.74E+09,2.44E+09
1.85E+09,2.38E+09
1.90E+09,2.67E+09
1.77E+09,2.36E+09
1.78E+09,2.46E+09
1.78E+09,2.52E+09
1.82E+09,2.54E+09
1.79E+09,2.56E+09
1.77E+09,2.68E+09
1.84E+09,2.56E+09
1.84E+09,2.65E+09
1.80E+09,2.67E+09
1.83E+09,2.55E+09
1.83E+09,3.01E+09
1.83E+09,2.93E+09
2.16E+09,2.69E+09
2.31E+09,3.24E+09
2.35E+09,3.80E+09
1.75E+09,3.90E+09
1.87E+09,3.11E+09
1.97E+09,2.45E+09
2.34E+09,2.44E+09
2.20E+09,2.09E+09
2.19E+09,2.07E+09
2.39E+09,2.14E+09
2.11E+09,2.09E+09
2.25E+09,2.07E+09
2.15E+09,2.34E+09
2.24E+09,2.47E+09
2.20E+09,2.72E+09
2.21E+09,2.59E+09
2.27E+09,2.60E+09
2.26E+09,2.70E+09
2.19E+09,2.59E+09
2.32E+09,3.20E+09
2.32E+09,2.89E+09
2.31E+09,3.00E+09
2.26E+09,3.40E+09
2.43E+09,3.18E+09
2.76E+09,3.22E+09
2.79E+09,3.18E+09
2.72E+09,3.18E+09
3.40E+09,2.42E+09
3.08E+09,2.68E+09
2.68E+09,2.65E+09
3.11E+09,2.60E+09
2.29E+09,2.52E+09
3.04E+09,2.55E+09
2.64E+09,2.58E+09
2.19E+09,2.90E+09
2.22E+09,2.47E+09
2.25E+09,2.90E+09
2.19E+09,2.49E+09
2.63E+09,2.49E+09
2.54E+09,2.61E+09
2.20E+09,2.48E+09
2.35E+09,2.97E+09
2.50E+09,2.91E+09
2.22E+09,3.20E+09
2.18E+09,3.20E+09
2.30E+09,2.93E+09
2.50E+09,3.51E+09
2.19E+09,2.97E+09
2.47E+09,2.97E+09
2.79E+09,3.10E+09
2.71E+09,2.44E+09
2.57E+09,2.50E+09
3.28E+09,2.57E+09
2.71E+09,2.54E+09
3.03E+09,2.91E+09
2.12E+09,2.69E+09
2.12E+09,2.47E+09
2.17E+09,2.70E+09
2.46E+09,2.86E+09
2.10E+09,2.82E+09
2.18E+09,2.74E+09
2.09E+09,2.73E+09
2.19E+09,2.70E+09
2.48E+09,2.86E+09
2.25E+09,2.67E+09
2.34E+09,2.91E+09
2.25E+09,3.16E+09
2.44E+09,3.41E+09
2.25E+09,3.04E+09
2.24E+09,2.36E+09
2.32E+09,2.47E+09
2.50E+09,2.40E+09
2.75E+09,2.36E+09
2.61E+09,2.76E+09
3.13E+09,2.55E+09
2.70E+09,2.53E+09
2.60E+09,2.78E+09
2.83E+09,2.63E+09
2.14E+09,2.64E+09
2.14E+09,2.67E+09
2.05E+09,2.55E+09
2.14E+09,2.27E+09
2.34E+09,2.10E+09
2.10E+09,2.13E+09
2.40E+09,2.10E+09
2.26E+09,2.14E+09
2.14E+09,2.41E+09
2.18E+09,2.42E+09
2.17E+09,2.56E+09
2.15E+09,2.97E+09
2.27E+09,2.49E+09
2.21E+09,2.42E+09
2.41E+09,2.52E+09
2.40E+09,2.56E+09
2.23E+09,2.51E+09
2.37E+09,2.57E+09
2.32E+09,2.60E+09
2.51E+09,2.54E+09
2.43E+09,2.75E+09
2.35E+09,2.71E+09
2.74E+09,2.69E+09
2.50E+09,3.36E+09
3.06E+09,3.37E+09
2.71E+09,2.68E+09
2.57E+09,2.72E+09
3.00E+09,2.99E+09
2.36E+09,3.43E+09
2.16E+09,2.87E+09
2.23E+09,3.46E+09
2.10E+09,2.38E+09
2.13E+09,2.60E+09
2.46E+09,2.42E+09
2.12E+09,2.48E+09
1.85E+09,2.50E+09
1.75E+09,2.51E+09
1.80E+09,2.50E+09
1.74E+09,2.99E+09
1.76E+09,2.71E+09
1.82E+09,2.45E+09
2.31E+09,2.69E+09
