train_losses_dice,train_losses_dice_hd,valid_losses_dice,valid_losses_dice_hd
0.97993255,1.2811677,0.98125017,1.2858088
0.9726496,1.4768162,0.97422105,1.4843028
0.96926033,1.4699101,0.9709676,1.4854732
0.9320167,1.4061825,0.93526465,1.4167765
0.94914013,1.1911684,0.950515,1.1965694
0.71385133,0.93967927,0.71772134,0.94574106
0.5847234,0.592404,0.5931277,0.6000418
0.45661193,0.40620396,0.4796977,0.40606132
0.31556004,0.3326795,0.3292392,0.30764723
0.24671778,0.34550422,0.2591318,0.3426365
0.25770134,0.24876249,0.30025238,0.23550561
0.44995016,0.25683835,0.3989359,0.27401558
0.23611891,0.18330443,0.26076865,0.17445987
0.17471054,0.19457701,0.18090892,0.19933216
0.124047056,0.18116158,0.13798189,0.18419556
0.17071025,0.15518177,0.16602224,0.16499403
0.123889774,0.20260896,0.14856726,0.2300745
0.13229583,0.19659641,0.16278672,0.1833638
0.113723874,0.1552766,0.1469382,0.18284932
0.10704902,0.14087407,0.13898909,0.13710214
0.09189576,0.13775963,0.12707585,0.17207657
0.11958872,0.11932236,0.14584893,0.12837583
0.097583756,0.13996363,0.14938802,0.17093737
0.09019317,0.11428618,0.11733478,0.12645315
0.09232174,0.13284247,0.14338583,0.17459697
0.08000444,0.1053267,0.13138998,0.13605319
0.08266042,0.09546088,0.11663216,0.13236248
0.077937976,0.10053552,0.12923545,0.1317495
0.07735214,0.12125227,0.13184065,0.15089878
0.0668108,0.10257186,0.12170291,0.15734635
0.07228708,0.0997037,0.12482923,0.13063395
0.07234311,0.09353191,0.14329451,0.1347224
0.066267595,0.11695397,0.12196344,0.13522747
0.072041824,0.08203447,0.11074442,0.12999272
0.07158305,0.09573527,0.14924574,0.13857299
0.06836873,0.08379564,0.1278513,0.11889719
0.08105317,0.081640825,0.1262781,0.1342787
0.06550354,0.097702615,0.1257875,0.13322446
0.059721157,0.087999806,0.12472683,0.14204215
0.08276701,0.07629104,0.12915778,0.1283726
0.05950834,0.079198256,0.12896615,0.12026692
0.054408655,0.09166575,0.12997025,0.141306
0.09420936,0.08676438,0.13339758,0.13319527
0.051791072,0.07949276,0.12529838,0.1398343
0.050607413,0.10379425,0.1249001,0.13443841
0.06988071,0.105152026,0.12623066,0.14272884
0.05138591,0.09222866,0.123173535,0.14952867
0.073106304,0.09419406,0.12457919,0.121026024
0.048292637,0.0755567,0.123015404,0.1304275
0.04751934,0.06980177,0.12195444,0.11091344
0.09828116,0.082869574,0.13117701,0.13142808
0.042418957,0.08329737,0.11972141,0.13003364
0.045089215,0.063518494,0.12289435,0.122962475
0.06932397,0.08938202,0.12579393,0.1467603
0.04635462,0.070496,0.11687583,0.12445248
0.05144638,0.068350196,0.11762822,0.140856
0.047152802,0.06326555,0.12647146,0.11526293
0.04004447,0.0641422,0.110218704,0.12413569
0.05165802,0.05685735,0.116862416,0.123460665
0.050892577,0.068705834,0.13827193,0.12657304
0.057598546,0.08020481,0.11433375,0.12582222
0.039565563,0.07247022,0.12007284,0.12934116
0.036499843,0.09803431,0.12027633,0.14630976
