step_times_dice,step_times_dice_hd
5.94E+08,6.74E+08
6.21E+08,8.00E+08
6.54E+08,6.44E+08
5.74E+08,6.79E+08
3.61E+08,3.77E+08
7.00E+08,1.08E+09
7.52E+08,7.05E+08
6.04E+08,6.71E+08
3.74E+08,4.93E+08
7.05E+08,8.61E+08
6.43E+08,5.58E+08
6.81E+08,6.52E+08
3.61E+08,4.56E+08
9.45E+08,7.92E+08
6.90E+08,5.86E+08
4.67E+08,6.95E+08
5.26E+08,6.36E+08
8.26E+08,8.87E+08
4.70E+08,8.12E+08
6.61E+08,6.71E+08
1.72E+08,4.22E+08
7.53E+08,5.64E+08
6.18E+08,8.48E+08
6.39E+08,9.08E+08
8.01E+08,7.43E+08
6.88E+08,4.70E+08
4.17E+08,1.17E+09
7.96E+08,4.47E+08
3.21E+08,4.48E+08
7.74E+08,1.14E+09
1.09E+09,7.86E+08
4.76E+08,4.37E+08
1.61E+08,5.69E+08
8.39E+08,1.00E+09
7.09E+08,7.86E+08
6.76E+08,8.26E+08
1.99E+08,7.33E+08
7.16E+08,8.36E+08
1.04E+09,7.41E+08
4.53E+08,6.89E+08
5.14E+08,6.70E+08
7.59E+08,7.48E+08
7.44E+08,7.79E+08
4.68E+08,1.10E+09
2.46E+08,7.48E+08
7.64E+08,6.42E+08
6.68E+08,5.02E+08
6.92E+08,8.22E+08
5.76E+08,5.89E+08
5.53E+08,6.08E+08
4.58E+08,5.15E+08
6.24E+08,6.72E+08
2.58E+08,2.81E+08
9.26E+08,8.23E+08
4.84E+08,8.53E+08
6.47E+08,6.77E+08
1.67E+08,2.37E+08
6.78E+08,7.27E+08
6.21E+08,6.84E+08
6.25E+08,8.07E+08
2.98E+08,5.58E+08
6.69E+08,5.96E+08
6.45E+08,5.29E+08
6.76E+08,7.27E+08
1.69E+08,2.90E+08
9.10E+08,8.49E+08
4.85E+08,7.99E+08
9.77E+08,6.69E+08
1.64E+08,5.72E+08
8.62E+08,5.62E+08
5.10E+08,5.42E+08
9.18E+08,9.00E+08
4.87E+08,2.42E+08
5.96E+08,7.37E+08
8.35E+08,1.09E+09
4.67E+08,7.96E+08
4.61E+08,2.45E+08
5.15E+08,7.61E+08
9.30E+08,6.89E+08
4.69E+08,6.93E+08
7.70E+08,4.86E+08
5.44E+08,5.59E+08
6.98E+08,7.73E+08
7.17E+08,8.83E+08
5.80E+08,5.39E+08
4.29E+08,4.79E+08
7.95E+08,8.20E+08
7.67E+08,7.68E+08
5.82E+08,4.66E+08
8.86E+08,5.86E+08
3.86E+08,8.22E+08
7.31E+08,7.71E+08
4.87E+08,4.04E+08
9.62E+08,6.67E+08
3.23E+08,9.63E+08
7.17E+08,5.63E+08
3.34E+08,5.30E+08
1.11E+09,5.11E+08
6.76E+08,7.71E+08
6.30E+08,7.48E+08
8.83E+08,2.42E+08
8.75E+08,9.43E+08
7.09E+08,5.83E+08
7.45E+08,1.05E+09
7.96E+08,4.96E+08
1.30E+09,6.80E+08
4.71E+08,6.37E+08
6.18E+08,8.59E+08
1.76E+08,5.28E+08
6.56E+08,8.00E+08
7.81E+08,7.44E+08
5.92E+08,5.84E+08
1.59E+08,2.50E+08
6.33E+08,9.68E+08
