train_losses_dice,train_losses_dice_hd,valid_losses_dice,valid_losses_dice_hd
0.9802216,1.1450331,0.9816801,1.1484249
0.9812908,1.2304704,0.9830332,1.2339268
0.96096814,1.2330089,0.9639904,1.238631
0.97414714,1.1354246,0.97624403,1.1365719
0.88387465,1.0102551,0.8888133,1.0128796
0.8442048,0.76894367,0.8497411,0.7559182
0.5229449,0.53871804,0.53739536,0.50543827
0.5013113,0.34806764,0.525756,0.31248796
0.3152331,0.45459163,0.3357365,0.4872382
0.250147,0.37255096,0.28025186,0.36586463
0.20802635,0.33601442,0.26203173,0.32186738
0.21159205,0.26142284,0.20835632,0.28305197
0.16982146,0.41397414,0.20052737,0.41044056
0.14321595,0.1984153,0.1701402,0.19971886
0.1740734,0.14563847,0.18325919,0.1570119
0.15213475,0.20684704,0.19917828,0.21501106
0.13841544,0.14148107,0.17300433,0.14296342
0.20437549,0.13149793,0.2698658,0.14059176
0.12015788,0.11682979,0.17444116,0.14237742
0.1330391,0.10685019,0.17032057,0.12286625
0.11553489,0.107251614,0.15564102,0.1333212
0.09945743,0.0993955,0.15408766,0.12332196
0.09808667,0.097004816,0.15559155,0.12613438
0.10415803,0.095529474,0.16068518,0.12971765
0.15088822,0.091882065,0.19202036,0.12044343
0.09321341,0.10817614,0.14017498,0.12939093
0.12647729,0.1023906,0.1971327,0.1318666
0.16020203,0.09722236,0.22462183,0.13251436
0.09288487,0.10779546,0.1449309,0.14437279
0.08033498,0.08772105,0.13408619,0.11750198
0.10387911,0.08944302,0.16788453,0.1242763
0.076383576,0.07765807,0.13834977,0.1123067
0.081259266,0.08096687,0.1446113,0.11838157
0.082577065,0.07154958,0.14806086,0.11540705
0.084960684,0.07394238,0.15126336,0.11139889
0.09231402,0.06937194,0.15770906,0.109916344
0.07214914,0.069190286,0.14320838,0.108345844
0.07262947,0.07341583,0.14054167,0.121343516
0.11380656,0.06601866,0.19381899,0.11357296
0.076131955,0.06897984,0.13581574,0.10901755
0.064338386,0.0635836,0.13353586,0.108338825
0.07563633,0.06089187,0.13386232,0.10957551
0.084592715,0.06328874,0.15504771,0.10151064
0.07199934,0.060815796,0.14444941,0.1091606
0.07295339,0.055784397,0.1485936,0.10716534
0.063467726,0.0605037,0.12140179,0.10175274
0.06439689,0.054566957,0.13572425,0.10504786
0.073426634,0.052553296,0.15808666,0.10462578
0.05887772,0.052155867,0.1227178,0.09680152
0.054193124,0.057571437,0.12187171,0.11585282
0.53401035,0.048696965,0.5447812,0.09844279
0.24478976,0.048196025,0.23462164,0.09566056
0.31895876,0.050346036,0.34529704,0.111977786
0.23687989,0.051548377,0.27499455,0.098131634
0.09436199,0.052187905,0.15598285,0.103889465
0.086537704,0.047505878,0.13440132,0.10712904
0.07901293,0.046943482,0.127155,0.097453594
0.07697296,0.05932271,0.10937661,0.1148191
0.06384815,0.044386372,0.117519855,0.09788937
0.09366885,0.045416906,0.12768698,0.10916297
0.061062828,0.050885625,0.113443494,0.09961498
0.07427126,0.042283375,0.11779809,0.10172271
0.06718598,0.0543243,0.11446607,0.119529806
0.059858173,0.042904694,0.11484486,0.09693832
0.065996215,0.044025082,0.114703596,0.1018758
0.06260586,0.038415663,0.117629945,0.1017629
0.060214624,0.036821716,0.1170671,0.10061809
0.056750327,0.04397324,0.11957878,0.10190432
0.066053286,0.034987375,0.12040281,0.100379474
0.05605589,0.035386864,0.11399329,0.10144798
0.059018135,0.04275272,0.12768304,0.10137216
0.052656233,0.034180254,0.11302698,0.09976277
0.054988727,0.040148128,0.11982697,0.11023164
0.04760599,0.041933093,0.11378467,0.09970734
0.047674984,0.033277944,0.11521357,0.10502314
0.04909894,0.04093185,0.11785287,0.10635082
0.047179773,0.040140476,0.11663681,0.099026516
0.047041684,0.034632925,0.12417054,0.10990249
0.05087018,0.02987735,0.12696391,0.10101353
0.05740547,0.032939203,0.12356806,0.09644185
0.038689032,0.03502865,0.11418593,0.10612471
0.046013758,0.029116333,0.12829316,0.09822424
0.05214107,0.028777517,0.122551024,0.10312984
0.04227008,0.039019447,0.1179142,0.100905985
0.038755774,0.029608985,0.119315326,0.09554939
0.04370171,0.03360882,0.11977178,0.111756586
0.041932,0.027540507,0.12352997,0.09610338
0.044848263,0.03204456,0.13111037,0.101234674
0.03679557,0.028754998,0.1179471,0.10245641
0.039909005,0.025617678,0.12774497,0.09983396
0.040127262,0.036155358,0.1253038,0.100439034
0.034553424,0.030365832,0.119816124,0.09725499
0.039444536,0.024715912,0.12981945,0.10148351
0.03825052,0.028960446,0.12202388,0.098528616
0.029952064,0.029316284,0.11996162,0.0959132
0.034731388,0.026166644,0.12653768,0.102409564
0.038190797,0.031020356,0.12436652,0.09984401
0.033073172,0.024570776,0.12130624,0.10222473
0.030693918,0.022854831,0.12084985,0.100172535
0.029820994,0.030336354,0.12308395,0.095774055
0.060835034,0.09551337,0.14909947,0.11986072
0.045811012,0.0541359,0.12636757,0.12502499
0.041110918,0.041677892,0.116503954,0.11991884
0.034758836,0.03126261,0.11654949,0.09583919
0.047369868,0.027459716,0.137281,0.0985521
0.030295938,0.02453292,0.12080443,0.098289
0.030945197,0.024353318,0.119517565,0.09267272
0.029477641,0.02275572,0.12590271,0.0989885
0.025372177,0.02323788,0.12180871,0.09418987
0.028480977,0.02237118,0.123481035,0.09388719
0.025624126,0.022597512,0.12693858,0.094574526
0.024239555,0.021373818,0.123644054,0.09415315
