sizes,dt_scipy,dt_pydt_single,dt_pydt_multi,dt_pydt_cuda,sizes_3D,dt_scipy_3D,dt_pydt_single_3D,dt_pydt_multi_3D,dt_pydt_cuda_3D
16,130892.09999179728,127178.60001885127,67475.70000698033,578440.899994348,64,129357.80000589148,188291.80000921042,68576.19998754672,429364.99999086664
64,81671.59999175055,78512.10000353603,69747.5000151826,290732.4999796401,216,98317.60000906797,97112.69999570504,81855.30000446306,261240.20000679596
324,78075.99999978265,91792.00001199206,83540.29998827173,297528.80000160076,1000,207295.40001411806,182400.59998788638,167629.49999247212,270157.4999946388
1600,248314.1999846339,209476.80000062974,146596.500007945,234922.7999957293,4096,629921.5000126424,518088.90000302193,511875.9000197315,271038.2000032041
7569,718723.7999914942,534663.600001295,523536.8999819912,239733.80000370526,15625,2269466.8999974965,1590072.1000207341,1455592.0000020706,274546.19998934504
35344,3169414.9000031757,2144404.799992117,2137981.9999992833,255419.49999023927,64000,9242162.599980475,5641824.999997879,5781954.499980202,320583.69999958813
164836,14757919.599992419,9960423.899997296,9715167.000013025,269160.60000985453,262144,47166884.20000992,25893897.700007074,25346029.39999786,323255.0999882733
769129,73080003.39999124,49602007.79999013,44426181.29999118,350369.30000842403,1030301,170266048.89999816,105059568.29999831,108892413.50000703,489856.49998485314
3594816,334986919.19999146,260580924.60000354,220496527.8000145,771641.5999993843,4173281,707992727.8000014,464370224.7999954,455404840.9000188,1257988.500015017
16777216,2880977716.6999993,2226129816.599996,2247354726.2000012,3194496.099990829,16777216,4636160819.90001,3710157500.8000054,3619757791.300003,5070624.399991175
