"sizes","dt_scipy","dt_scipy_std","dt_maurer","dt_maurer_std","dt_fenz","dt_fenz_std","dt_proposed","dt_proposed_std","sizes_3D","dt_scipy_3D","dt_scipy_std_3D","dt_maurer_3D","dt_maurer_std_3D","dt_fenz_3D","dt_fenz_std_3D","dt_proposed_3D","dt_proposed_std_3D"
16.0,29624.0,6443.80801311901,471.6683673469388,611.4707741078719,32573.0,3.6190445817775317e6,38291.0,388553.0492084572,64.0,36861.0,8893.399857190863,3255.625,119895.06077840649,111777.0,2.338554483543656e7,51694.0,293390.81912511017
47961.0,3.339432e6,251313.3866173913,1.289333e6,593995.3968175885,1.248658e6,1.388602963983478e6,40779.0,390539.79795538576,4913.0,562098.0,83167.37582953434,208587.0,814701.6108061984,691636.0,1.0437508203876746e8,53622.0,302563.70296429587
189225.0,1.3749267e7,568336.1883303665,4.698438e6,831593.5156308173,4.151129e6,2.861939047256897e6,48722.0,547071.4029968395,29791.0,3.523531e6,185004.77556328004,1.128409e6,587401.6828427798,2.848652e6,8.850209506986743e7,54051.0,296616.62282641075
422500.0,3.1080666e7,1.4424110850007872e6,9.820711e6,2.7974305043626133e7,9.050999e6,4.352045839259439e6,64105.0,9042.815714121076,85184.0,9.947161e6,283406.60395669163,3.206293e6,728329.7345999798,6.795623e6,1.3104725179919036e8,58251.0,363014.57056449447
748225.0,5.6276779e7,1.5260465864932456e6,1.6628406e7,4.110427719329072e7,1.6436815e7,5.024866634494553e6,83322.0,8295.38317947454,185193.0,2.207057e7,853531.514958225,7.480871e6,1.2431257407261287e6,1.5215946e7,1.3449784267653123e8,71490.0,308670.87472519657
1.168561e6,9.1839534e7,3.30209980025493e6,2.7408934e7,4.778249024090465e7,2.5752768e7,2.9522947497039802e7,134002.0,686988.4847193918,343000.0,4.1738112e7,1.1401656108759004e6,1.3690573e7,6.29956689317053e6,2.6003722e7,2.618275590616472e8,93268.0,372350.93186985486
1.679616e6,1.29276323e8,4.954089702539523e6,3.7131756e7,3.319497773022691e7,3.7873479e7,3.2799960740643777e7,159914.0,418167.13131416263,592704.0,7.5794358e7,1.0023528934397685e6,2.3019286e7,3.304257976500277e7,4.3437493e7,2.9510864758894515e8,120371.0,339579.5924970532
2.286144e6,1.84251806e8,2.6033186538203503e6,5.0488374e7,6.1402609221947566e7,5.014221e7,3.554175096407447e7,187711.0,438418.6657946492,912673.0,1.25908374e8,2.4765484040086875e6,3.8604038e7,4.7219843040736996e7,6.7510068e7,2.9728838257599175e8,155824.0,354724.52555175166
2.982529e6,2.40707108e8,4.616028721983688e6,6.8457123e7,5.010845132942271e7,6.5511304e7,7.152109463165413e6,227871.0,432158.3850796123,1.331e6,1.83047452e8,4.247017379225881e6,5.4995238e7,3.146179901953406e7,9.5310055e7,5.568528045865078e8,205483.0,423087.45777043875
3.771364e6,2.98271937e8,5.749926184707315e6,8.9328159e7,7.217917242687443e7,8.2340352e7,6.922367965501195e7,284316.0,366724.5612145741,1.860867e6,2.66971726e8,3.5503493556198888e6,7.8489782e7,7.064134711086649e7,1.30959375e8,5.157248410345477e8,273235.0,395290.33537282114
4.656964e6,3.83433465e8,4.310249361586851e6,1.03985153e8,8.032756808246483e7,1.00664494e8,5.940428346330006e6,406110.0,449891.2878065234,2.571353e6,3.71475592e8,6.194822998868831e6,1.11236862e8,7.754963851168175e6,1.774621e8,1.7196035412419063e8,350541.0,442009.71506825846
5.631129e6,4.67285338e8,9.895587268914416e6,1.28401096e8,9.856824970263857e7,1.19928645e8,5.073429376246149e7,458875.0,435472.609122377,3.375e6,4.69818367e8,4.891350921310195e6,1.42018097e8,3.2578536462969575e6,2.60208836e8,2.717507385459961e8,438736.0,439706.38113666215
