Dice,Scipy,Felzenszwalb_cpu,Felzenszwalb_gpu
394739000000,14970000000,7627000000,2295000000
2674000000,6098000000,4860000000,2661000000
2713000000,5462000000,3806000000,2684000000
2687000000,6260000000,3382000000,2660000000
2500000000,6241000000,3948000000,2617000000
2663000000,5635000000,3844000000,2778000000
2539000000,6413000000,3392000000,2607000000
2556000000,5786000000,3888000000,2679000000
2735000000,5379000000,3851000000,2628000000
2683000000,5793000000,3489000000,2641000000
2504000000,5876000000,3611000000,2248000000
2730000000,6081000000,4022000000,2665000000
2665000000,5985000000,4457000000,2749000000
2636000000,5709000000,5002000000,2697000000
2524000000,5683000000,4599000000,2653000000
2548000000,5661000000,4067000000,2747000000
2508000000,5924000000,4783000000,2717000000
2613000000,5927000000,4636000000,2818000000
2515000000,5980000000,4580000000,2717000000
2563000000,6034000000,4037000000,2756000000
2368000000,5288000000,4719000000,2426000000
2628000000,6250000000,4907000000,2653000000
2597000000,6055000000,4080000000,2719000000
2553000000,5939000000,4795000000,2770000000
2481000000,5841000000,4749000000,2743000000
2545000000,5850000000,4619000000,2765000000
2546000000,5884000000,3799000000,2738000000
2586000000,5955000000,4890000000,2756000000
2341000000,6038000000,4510000000,2709000000
2681000000,5762000000,3900000000,2858000000
2308000000,5192000000,4127000000,2392000000
2387000000,6302000000,4571000000,2691000000
2647000000,5982000000,4717000000,2727000000
2634000000,5839000000,4469000000,2699000000
2638000000,5803000000,5144000000,2713000000
2719000000,5525000000,4484000000,2906000000
2775000000,5662000000,4160000000,2821000000
2729000000,5498000000,4632000000,4212000000
2503000000,5580000000,4682000000,5564000000
2628000000,5627000000,4773000000,5595000000
2154000000,5611000000,3996000000,5120000000
2679000000,5901000000,4892000000,5455000000
2595000000,5835000000,4611000000,5774000000
2551000000,5901000000,4441000000,5492000000
2631000000,5906000000,4596000000,5710000000
2632000000,5995000000,3796000000,5594000000
2644000000,5883000000,4671000000,6103000000
2675000000,5935000000,4563000000,5549000000
2594000000,5996000000,4486000000,4941000000
2653000000,6104000000,4319000000,4875000000
2166000000,5228000000,3818000000,4296000000
2669000000,6136000000,4727000000,4989000000
2639000000,6007000000,4571000000,4970000000
2629000000,5974000000,4463000000,4860000000
2631000000,6026000000,4402000000,4849000000
2692000000,5819000000,4569000000,4984000000
2667000000,5731000000,4459000000,4820000000
2705000000,5808000000,4418000000,4948000000
2569000000,5722000000,4377000000,5105000000
2629000000,5898000000,4470000000,5596000000
2268000000,5568000000,3787000000,4694000000
2635000000,5848000000,4792000000,5103000000
2682000000,5917000000,4327000000,6694000000
2733000000,5501000000,4282000000,5567000000
2525000000,6172000000,4348000000,5047000000
2629000000,5544000000,4400000000,5008000000
2618000000,5904000000,4464000000,4980000000
2710000000,7000000000,4337000000,4935000000
2723000000,5807000000,3858000000,5064000000
2515000000,5291000000,3871000000,4926000000
2089000000,5665000000,4588000000,5082000000
2575000000,5724000000,3995000000,5072000000
2681000000,5215000000,3577000000,5280000000
2742000000,6231000000,4191000000,4730000000
2565000000,5793000000,3664000000,5167000000
2737000000,5685000000,4559000000,4891000000
2710000000,6444000000,4401000000,4942000000
2582000000,5746000000,4335000000,4850000000
2736000000,5955000000,3684000000,4952000000
2689000000,5226000000,4492000000,4845000000
2160000000,6210000000,3729000000,4428000000
3086000000,5750000000,4654000000,4838000000
2473000000,5150000000,4318000000,5289000000
2618000000,6169000000,4316000000,5467000000
2778000000,5937000000,4529000000,4992000000
2719000000,5185000000,4651000000,4925000000
2664000000,5943000000,4451000000,4977000000
2893000000,6379000000,4500000000,4760000000
2857000000,5331000000,4544000000,4824000000
2640000000,6137000000,4458000000,5153000000
2383000000,5038000000,3818000000,4385000000
2807000000,6127000000,4782000000,5015000000
3020000000,6036000000,4594000000,4966000000
2702000000,5177000000,4420000000,5084000000
2658000000,6336000000,4494000000,4948000000
3057000000,5879000000,4351000000,5574000000
2564000000,5758000000,4584000000,4728000000
2757000000,5337000000,4568000000,4911000000
2606000000,6329000000,4427000000,4937000000
2748000000,6004000000,4630000000,4915000000
2078000000,5086000000,3890000000,4438000000
2552000000,6218000000,4803000000,5128000000
2928000000,5917000000,4443000000,4929000000
3031000000,5876000000,4252000000,4849000000
2683000000,5995000000,4389000000,4877000000
2596000000,5986000000,4355000000,4976000000
2658000000,5866000000,4481000000,4885000000
3329000000,5808000000,4307000000,5394000000
2695000000,5930000000,4404000000,5135000000
2564000000,5830000000,4426000000,4910000000
2558000000,5108000000,5241000000,4479000000
2756000000,6375000000,4499000000,4860000000
2744000000,5880000000,4328000000,4990000000
2666000000,5807000000,5173000000,4843000000
2792000000,5772000000,4077000000,4971000000
2941000000,5695000000,4772000000,4912000000
2599000000,5843000000,4627000000,4969000000
2669000000,6017000000,3969000000,5480000000
2589000000,6023000000,4664000000,4879000000
2886000000,5865000000,4547000000,6294000000
2338000000,6275000000,3876000000,6102000000
3060000000,5874000000,4662000000,6774000000
2372000000,5253000000,4356000000,6674000000
2609000000,6274000000,4441000000,6598000000
3166000000,5993000000,4520000000,4867000000
2453000000,5076000000,4608000000,5022000000
2833000000,6126000000,4410000000,5021000000
3071000000,5198000000,4516000000,5037000000
2472000000,6105000000,4507000000,4961000000
3168000000,6131000000,3759000000,5023000000
2906000000,5089000000,4257000000,4552000000
2927000000,6241000000,4413000000,4924000000
3266000000,6006000000,4472000000,4867000000
2403000000,5087000000,4573000000,5038000000
2578000000,6076000000,4411000000,4936000000
2918000000,5930000000,4444000000,4878000000
2832000000,5812000000,4410000000,4965000000
2649000000,5801000000,4560000000,4981000000
2631000000,5102000000,4566000000,4926000000
2737000000,6132000000,4512000000,4909000000
2537000000,4914000000,4782000000,4408000000
2962000000,5980000000,3844000000,4940000000
2574000000,5988000000,4460000000,5546000000
2412000000,5816000000,4630000000,4861000000
2465000000,5891000000,3555000000,5153000000
3124000000,5783000000,4004000000,4978000000
3039000000,5767000000,4072000000,4888000000
2755000000,5937000000,3511000000,4903000000
2728000000,5926000000,4095000000,4999000000
2923000000,5866000000,3996000000,4777000000
2961000000,5164000000,3482000000,4367000000
2621000000,6258000000,4169000000,4989000000
3052000000,6064000000,3849000000,4832000000
3108000000,5747000000,3689000000,4963000000
2758000000,5866000000,3765000000,5439000000
2981000000,5975000000,3744000000,5216000000
2994000000,5911000000,3364000000,5117000000
2873000000,5662000000,3675000000,4975000000
3287000000,5967000000,3800000000,4892000000
2781000000,5900000000,3723000000,5062000000
2155000000,6380000000,3265000000,4670000000
