epoch_idx,Dice_times,Dice_HD_Scipy_times,Dice_HD_Felzenszwalb_GPU_times,Dice_HD_Felzenszwalb_CPU_times
1,1.87E+11,3.96E+12,4.24E+12,7.76E+09
2,5.42E+09,8.68E+09,6.97E+09,6.90E+09
3,5.88E+09,8.56E+09,7.10E+09,6.83E+09
4,5.56E+09,8.07E+09,6.99E+09,6.40E+09
5,5.27E+09,8.54E+09,6.89E+09,6.54E+09
6,5.63E+09,7.58E+09,6.47E+09,6.25E+09
7,5.72E+09,8.44E+09,6.79E+09,5.71E+09
8,5.42E+09,8.07E+09,6.96E+09,5.75E+09
9,5.76E+09,8.64E+09,7.07E+09,6.46E+09
10,5.46E+09,8.13E+09,6.79E+09,7.30E+09
11,5.71E+09,8.55E+09,6.28E+09,7.18E+09
12,5.81E+09,9.33E+09,7.05E+09,6.42E+09
13,5.68E+09,8.50E+09,9.58E+09,6.32E+09
14,5.88E+09,7.82E+09,7.10E+09,6.86E+09
15,6.68E+09,8.01E+09,7.09E+09,6.25E+09
16,6.24E+09,8.54E+09,7.08E+09,6.93E+09
17,5.79E+09,8.72E+09,7.35E+09,6.34E+09
18,5.40E+09,8.41E+09,7.18E+09,6.66E+09
19,5.80E+09,7.96E+09,7.12E+09,6.45E+09
20,6.14E+09,8.89E+09,6.57E+09,7.25E+09
21,5.48E+09,8.16E+09,7.51E+09,6.53E+09
22,5.53E+09,8.48E+09,7.56E+09,7.10E+09
23,5.93E+09,8.59E+09,7.35E+09,6.37E+09
24,5.69E+09,8.40E+09,5.85E+09,6.72E+09
25,6.19E+09,9.09E+09,4.83E+09,6.34E+09
26,5.65E+09,8.51E+09,5.26E+09,6.65E+09
27,5.82E+09,7.60E+09,5.26E+09,6.99E+09
28,6.10E+09,8.78E+09,5.37E+09,6.60E+09
29,5.59E+09,8.34E+09,5.94E+09,6.60E+09
30,6.14E+09,8.95E+09,6.33E+09,6.85E+09
31,5.65E+09,8.38E+09,6.80E+09,6.30E+09
32,6.08E+09,8.12E+09,6.80E+09,6.69E+09
33,5.82E+09,8.23E+09,7.25E+09,6.71E+09
34,5.56E+09,8.61E+09,7.26E+09,6.57E+09
35,5.86E+09,8.67E+09,6.80E+09,6.62E+09
36,6.15E+09,8.21E+09,6.91E+09,6.76E+09
37,5.41E+09,8.31E+09,7.30E+09,6.99E+09
38,5.51E+09,8.27E+09,7.02E+09,6.87E+09
39,5.74E+09,8.07E+09,6.89E+09,6.63E+09
40,5.39E+09,9.09E+09,6.83E+09,6.90E+09
41,5.64E+09,8.34E+09,6.46E+09,6.92E+09
42,6.74E+09,8.40E+09,7.02E+09,6.60E+09
43,5.69E+09,7.93E+09,6.62E+09,6.69E+09
44,5.71E+09,8.65E+09,5.89E+09,6.83E+09
45,6.09E+09,9.54E+09,6.88E+09,6.60E+09
46,6.10E+09,8.31E+09,7.49E+09,7.01E+09
47,5.77E+09,8.31E+09,7.45E+09,6.13E+09
48,6.07E+09,8.58E+09,7.33E+09,7.22E+09
49,5.55E+09,8.34E+09,7.09E+09,6.46E+09
50,5.33E+09,8.81E+09,6.78E+09,6.78E+09
51,5.45E+09,8.34E+09,7.01E+09,7.03E+09
52,5.59E+09,8.83E+09,6.88E+09,6.64E+09
53,5.97E+09,8.16E+09,7.24E+09,6.36E+09
54,5.80E+09,7.81E+09,6.68E+09,7.01E+09
55,6.03E+09,7.71E+09,6.46E+09,6.76E+09
56,5.58E+09,7.54E+09,6.54E+09,6.69E+09
57,5.65E+09,8.29E+09,6.70E+09,6.57E+09
58,5.39E+09,8.33E+09,7.46E+09,7.03E+09
59,5.61E+09,8.40E+09,7.72E+09,6.42E+09
60,5.78E+09,8.29E+09,7.06E+09,6.32E+09
61,6.51E+09,8.58E+09,7.10E+09,6.74E+09
62,6.32E+09,7.85E+09,6.89E+09,7.05E+09
63,6.05E+09,8.68E+09,7.49E+09,6.84E+09
64,5.55E+09,8.91E+09,7.25E+09,6.87E+09
65,5.77E+09,8.88E+09,7.42E+09,6.78E+09
66,5.31E+09,8.33E+09,7.39E+09,6.99E+09
67,6.08E+09,8.56E+09,8.67E+09,6.51E+09
68,5.68E+09,8.32E+09,7.24E+09,7.64E+09
