"sizes_hd","dice","dice_std","hd_scipy","hd_scipy_std","hd_maurer","hd_maurer_std","hd_fenz","hd_fenz_std","hd_proposed","hd_proposed_std","sizes_hd_3D","dice_3D","dice_std_3D","hd_scipy_3D","hd_scipy_std_3D","hd_maurer_3D","hd_maurer_std_3D","hd_fenz_3D","hd_fenz_std_3D","hd_proposed_3D","hd_proposed_std_3D"
16.0,183.52554744525548,186.36316766162622,59200.0,8127.006803288309,1188.4,4044.372868750349,76333.0,4.444743345818792e6,116256.0,787901.1481237711,16.0,599.1787709497206,3005.7668993030516,75250.0,32273.322993760583,6890.0,48294.15872428214,224964.0,5.532357516938924e7,148726.0,804568.222624196
47961.0,58297.0,79325.95242874179,6.859696e6,414675.05773290916,2.819735e6,903995.6376683787,2.69824e6,6.004904935394408e6,132015.0,958626.0259073047,289.0,12299.0,51197.061727702116,1.181967e6,325042.46330491215,505852.0,1.2115692858912663e6,1.857882e6,8.482228888439277e7,167717.0,1.0580974538787748e6
189225.0,346475.0,147534.1956279117,2.759301e7,966746.7052492046,1.0617521e7,1.5840814320573478e6,1.1461842e7,4.198374568457611e6,148642.0,1.0795720072025838e6,961.0,60924.0,87688.42111395836,7.101199e6,482771.6394298074,3.5039e6,1.2575077385056745e6,5.286341e6,4.197594424241135e8,174299.0,1.0876814775607728e6
422500.0,986898.0,246907.2464179739,6.3625331e7,1.8861636362805676e6,2.1817133e7,3.871494729977953e7,1.96685e7,6.33741918488623e6,180437.0,1.1775127037030046e6,1936.0,145974.0,137049.12021257466,2.0154305e7,915238.208761736,7.582357e6,1.2922505175113059e6,1.5663038e7,1.5544445600918275e8,179091.0,1.2589686152513386e6
748225.0,1.727818e6,302026.3343544147,1.17975475e8,3.0192817603083416e6,3.8856712e7,5.81456837423729e7,3.5780546e7,4.02483927293779e7,225297.0,1.407808805376616e6,3249.0,394019.0,257410.27283467833,4.4578026e7,1.3439810549075291e6,1.674102e7,1.7009172223230337e6,3.2087909e7,3.978306537617919e8,199291.0,1.0667489132316152e6
1.168561e6,2.673573e6,303573.1037095024,1.86582749e8,2.419166287686291e6,5.9953841e7,5.557263317018373e7,5.3918737e7,1.3027252421358222e7,331514.0,1.2166250853305326e6,4900.0,726635.0,285520.3304082867,8.4300522e7,1.1007731072091926e6,3.0144673e7,1.6354976123063266e6,5.4403489e7,4.016018515211672e8,241301.0,1.0818218669598254e6
1.679616e6,3.846425e6,468987.1461368332,2.62509667e8,1.1303478013307668e7,8.0966448e7,7.084938030371636e7,8.1090017e7,6.746925975498667e7,396482.0,1.1126778486369755e6,7056.0,1.297962e6,363371.9874529666,1.5714395e8,2.745311762166169e6,5.0279705e7,2.1061469853789774e6,9.4716058e7,3.495155296201918e8,301904.0,931690.7762220061
2.286144e6,5.568367e6,715290.4425944776,3.57740969e8,1.5825530793744877e7,1.14130308e8,7.960967147572978e7,1.11053785e8,6.106931029188933e7,468115.0,1.0017791221642854e6,9409.0,2.04879e6,495645.23120009655,2.53751266e8,3.6006910569488565e6,8.3140068e7,5.056931113213369e6,1.41048464e8,7.952263236671793e8,380175.0,714982.2805518802
2.982529e6,7.393248e6,587854.2862551636,4.99715993e8,1.9832572925244503e7,1.52430893e8,8.786996681423108e7,1.53766826e8,7.593371144138119e7,556151.0,1.0087711512398935e6,12100.0,2.984956e6,580628.5868309535,3.75514071e8,3.9546277523883283e6,1.14105947e8,2.879986229839339e6,1.92099637e8,6.92154003348148e8,492286.0,1.4312259524168354e6
3.771364e6,1.0166185e7,829837.8184564846,6.09086832e8,1.4297267660233561e7,1.89462631e8,8.76538393167087e7,1.83085769e8,8.357161791171335e6,782851.0,792505.199133678,15129.0,4.521666e6,613324.9651390278,5.32591358e8,9.176527438404081e6,1.71114471e8,4.477224472968248e6,2.91341539e8,7.308593714171886e8,737856.0,966862.7481576101
