epoch_idx,dice_metric_of_dice_model_train_set,hd_metric_of_dice_model_train_set,dice_metric_of_dice_model_valid_set,hd_metric_of_dice_model_valid_set,dice_metric_of_HD_dice_model_train_set,hd_metric_of_HD_dice_model_train_set,dice_metric_of_HD_dice_model_valid_set,hd_metric_of_HD_dice_model_valid_set
10,0.382635152,Inf,0.425434932,Inf,0.21950667,Inf,0.275090733,27.28530069
20,0.431583292,Inf,0.460143295,Inf,0.4427404,Inf,0.488893928,27.3005805
30,0.419228616,Inf,0.47030437,34.28617866,0.467167103,Inf,0.53757916,30.15476071
40,0.483409339,Inf,0.523319234,Inf,0.477478995,Inf,0.519287294,28.67684428
50,0.471559479,Inf,0.508503786,30.26876097,0.500824947,Inf,0.549119253,35.68473372
60,0.510506637,Inf,0.555695373,25.55763855,0.4796929,Inf,0.522676291,33.09219045
70,0.524886431,Inf,0.578917404,28.1281662,0.461859409,Inf,0.529973022,35.04432643
80,0.538944237,Inf,0.588836855,27.94701467,0.55066281,Inf,0.606538734,28.79718252
90,0.553935204,Inf,0.6018003,32.95666081,0.558043938,Inf,0.611471149,30.25022372
100,0.536471709,Inf,0.574135919,27.8197944,0.554525453,Inf,0.596816318,35.41196656
110,0.532642091,Inf,0.561216094,31.26377064,0.561944033,Inf,0.596869987,33.71442105
120,0.556659913,Inf,0.574097185,33.07659689,0.547659032,Inf,0.583430737,34.50684642
130,0.560519564,Inf,0.583808411,32.12284835,0.585915819,Inf,0.608117994,27.9800934
140,0.589822136,Inf,0.596276529,27.5148245,0.529121191,Inf,0.557104636,34.39207944
150,0.553500555,Inf,0.578213018,29.75390266,0.582530251,Inf,0.609886419,41.65039339
160,0.433679432,Inf,0.4507221,41.21058312,0.526342044,Inf,0.546188696,37.25596323
170,0.566804272,Inf,0.578939762,29.27486941,0.57099901,Inf,0.587456015,35.22604611
180,0.572121176,Inf,0.583409902,25.29730834,0.573514882,Inf,0.579422183,26.71015151
190,0.562299272,Inf,0.551986605,31.35069327,0.54233386,Inf,0.548032958,42.61800712
200,0.56053946,30.71522599,0.561861377,30.63767277,0.553908012,Inf,0.575356831,25.74855844
210,0.570643514,Inf,0.578938418,23.04455415,0.555524539,Inf,0.569774431,45.08687228
220,0.550934346,Inf,0.556554335,29.07449599,0.524117276,Inf,0.531890281,40.84238821
230,0.551607805,28.76772465,0.549510996,32.04586487,0.543598937,Inf,0.550150721,36.47587677
240,0.525973537,30.49331243,0.496868545,33.60857106,0.529524871,Inf,0.5413593,42.85529982
250,0.53736425,Inf,0.530583316,25.33406891,0.517432591,Inf,0.521514779,47.24065863
260,0.537225422,Inf,0.524978251,24.91218012,0.539401531,Inf,0.538718686,47.81326976
270,0.537323138,26.40031267,0.522657264,30.80247209,0.543270385,Inf,0.543215346,37.23977812
280,0.555748472,Inf,0.527715047,35.73118458,0.531326491,Inf,0.524004141,51.93429229
290,0.562408063,26.07698925,0.529043148,26.42393269,0.539503994,Inf,0.531160345,42.81563843
300,0.555137778,28.61857771,0.524363826,33.01717674,0.527682368,Inf,0.517501753,50.63932762
310,0.556223255,39.19131562,0.532504346,44.56637926,0.551576597,40.11562825,0.533373233,45.52317788
320,0.558977838,38.87041706,0.541047935,42.1778194,0.533520349,34.82051788,0.525293922,35.14515897
330,0.550812026,30.88097452,0.523105248,36.71472926,0.544681129,44.15381159,0.53296292,46.9980978
340,0.561237022,27.35260024,0.52426822,30.56536081,0.554651861,52.15515766,0.536741396,52.7729382
350,0.547567423,28.13625445,0.515787199,29.58440434,0.537758797,54.66873848,0.525345058,57.18114065
360,0.544061428,38.73075368,0.50600961,42.81378493,0.552224853,47.39142001,0.525241792,51.04069488
370,0.563834802,30.62514416,0.523210241,32.61943775,0.531237944,54.76270222,0.51459224,58.55564765
380,0.556724512,41.12629329,0.523606229,45.82328375,0.558020647,Inf,0.530147572,45.17268293
390,0.547385628,40.23170046,0.501116333,44.43729543,0.536900352,57.57681281,0.516853314,59.02193798
400,0.558191311,43.09051325,0.527439899,48.22913092,0.553063921,51.90406362,0.536270146,54.05973819
410,0.562972034,45.40250784,0.528035641,54.06744435,0.518037114,53.58969333,0.498795988,55.49089597
420,0.543786368,36.97443311,0.511005478,40.59764765,0.531640206,44.27888938,0.511674881,47.96751116
430,0.556555677,38.26435141,0.520890499,43.54962957,0.555578646,41.76378464,0.526626085,45.84088786
440,0.560671299,45.40054812,0.524577396,50.66262447,0.553218948,Inf,0.518692289,44.23231288
450,0.533603378,46.41576318,0.511112584,53.27411964,0.554505732,52.79358256,0.526440667,56.00765506
460,0.563045228,35.47249524,0.527618504,40.5355098,0.532054716,54.38668105,0.506061756,57.2673793
470,0.560012618,40.41826219,0.523440061,48.1734322,0.548207856,52.9789871,0.518003812,57.41372483
480,0.574107947,35.94443477,0.525660521,39.44000651,0.548741145,57.29174846,0.517392019,58.4242314
490,0.568865456,49.08686251,0.524311161,51.83606385,0.570917267,50.65350955,0.537714725,56.79862964
500,0.587789351,42.68357952,0.536268538,48.90556277,0.544351478,50.28695542,0.516964708,53.92214157
