epoch_idx,dice_metric_of_HD_dice_model_train_set,hd_metric_of_HD_dice_model_train_set,dice_metric_of_HD_dice_model_valid_set,hd_metric_of_HD_dice_model_valid_set
10,0.006718930627751744,Inf,0.005710860666260405,Inf
20,0.08796291898624732,Inf,0.10685759383285247,44.26279061185108
30,0.09000309467346192,Inf,0.10666273761982736,57.865481953283854
40,0.09181792163113953,Inf,0.0882032181988602,Inf
50,0.15645808331577063,Inf,0.17656947621925612,65.60091224695194
60,0.1133472404440851,Inf,0.131802845468733,66.86310683824148
70,0.15960819906309492,Inf,0.1642126038979708,66.8343783397411
80,0.2074076642514167,Inf,0.22508960315304197,66.49749556593895
90,0.1408471526108706,Inf,0.15723868059169244,68.63744697887877
100,0.15651684581436592,Inf,0.169925473910669,68.33645077735439
110,0.17010320121589204,Inf,0.18690954999245923,67.1221816097785
120,0.21204690235423043,Inf,0.22927339128248894,65.41851957413546
130,0.23903114758536784,Inf,0.2638921637935739,63.6886841364785
140,0.23307588989530875,63.26055275127388,0.2557660866811287,65.95939587823625
150,0.2572861071901606,Inf,0.28325179016505936,63.481427449809466
160,0.24919648552159587,64.01527851460575,0.2703113743047069,65.95746556906532
170,0.24702527324580126,Inf,0.27053264020119366,66.54726074145617
180,0.2710552413170459,Inf,0.28782571165501547,64.04106961250983
190,0.27893512886569655,Inf,0.2935376295768898,65.51200845988758
200,0.2757381763485806,Inf,0.29628771800122583,65.60292626177805
210,0.31244976728451884,61.979619171062886,0.3355337858847222,63.41229231125671
220,0.2702713159466489,62.04453168823796,0.2909241303660165,62.3066676655134
230,0.30247837875368405,Inf,0.3148738049745359,61.977607853849186
240,0.325384780552636,Inf,0.3472277722435852,63.14773408184417
250,0.3214913005406253,62.46798397631215,0.3292166066054155,62.12234994018217
260,0.3039759804531693,63.72685577275091,0.32824770651827556,65.69083331326739
270,0.29372443698770423,60.77626659582458,0.3106519342683506,61.14666294024567
280,0.33922307158781656,Inf,0.36482738541576604,61.02323557236481
290,0.32971024711263497,Inf,0.3559679468469371,57.24937867887392
300,0.35789934439435556,58.794273801527474,0.3753817685741352,60.553056696246934
310,0.3616632881796759,59.978608335281066,0.37333487119206127,60.65070778432538
320,0.35378427071996743,59.811195518570884,0.37217114342484287,59.384189989693425
330,0.33673286739584685,59.76418374259461,0.3553662217616259,60.892725591773974
340,0.3756264170148371,59.11055877583649,0.3849306546332808,61.27951199959856
350,0.3876472292597368,60.49693599602715,0.3971258838113466,62.215500530252
360,0.4032459438671559,58.92396678096517,0.4084017977085907,59.78078167545619
370,0.3903669132334427,61.68055258708101,0.3902151744164694,64.03767730612675
380,0.3535461165743178,65.26387874300679,0.3689294811445259,65.77298658142016
390,0.36484714887873404,63.26120504353057,0.36782800589990117,65.12706786990407
400,0.39549209956252435,61.566429916455306,0.38896979183980174,63.675156801319815
410,0.3889867511159714,62.14537573773796,0.3855467199420693,63.22744356013101
420,0.39957236413851127,62.53625497389532,0.39974136557745193,65.04027420391917
430,0.4286512324465205,61.50291097575302,0.420141980132007,64.47260633185277
440,0.4078001991395209,63.507867204897586,0.3971134125490156,65.89710908229536
450,0.43880560780588707,59.32558901163038,0.4323586402342889,62.54146898467875
460,0.4739695851890309,60.25697530135058,0.4563255059889715,62.10861629604249
470,0.43267126504863723,63.020294710091065,0.41596391587416326,65.61536919590797
480,0.4530476436581734,54.73528309648482,0.4322995705267509,55.421740058613715
490,0.3953743004252875,61.650166894948036,0.37905788133841406,62.607476469746324
500,0.3641938979764954,63.814729512612125,0.3570631792219037,65.02743340062553
